2018-10-26 14:55:26.4683 | TRACE | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:55:44.4611 | TRACE | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:55:45.0206 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 14:57:41.5303 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:57:41.5303 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:57:42.1207 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
2018-10-26 14:57:43.3701 | TRACE | Transliteration.ViewModels.TranslitViewModels | User want to log out.
2018-10-26 14:57:43.3761 | TRACE | Transliteration.ViewModels.TranslitViewModels | Clear current user for auto login.
2018-10-26 14:57:43.3890 | TRACE | Transliteration.ViewModels.TranslitViewModels | Now another user can Sign In.
2018-10-26 14:57:48.9555 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-26 14:57:50.7055 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-26 14:57:50.7055 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-26 14:57:50.7225 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-26 14:57:55.9128 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:56.1263 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:56.2894 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:56.4158 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:57.2205 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:57.5476 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:57:57.6423 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-26 14:58:14.2957 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:58:14.2957 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-26 14:58:14.8682 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач увійшов до застосуку.
