2018-10-27 20:45:49.9696 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 20:45:49
2018-10-27 20:45:52.0881 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 20:45:52.0881 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 20:45:52.9250 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 20:45:52.9250 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 20:45:52.9369 | TRACE | Transliteration.MainWindow | Поепередньо залогінений користувач відсутній.
2018-10-27 20:46:04.0801 | TRACE | Transliteration.ViewModels.SignInViewModel | User go to Translit page.
2018-10-27 20:46:08.1761 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:08.3211 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:08.6267 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:08.6476 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:08.8317 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:08.9222 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:09.0148 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of EnterText property.
2018-10-27 20:46:10.0303 | TRACE | Transliteration.Tools.TranslitDictionary | Entered text start to translit.
2018-10-27 20:46:10.0303 | TRACE | Transliteration.ViewModels.TranslitViewModels | Entered text finish to translit.
2018-10-27 20:46:10.0303 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of TranslitText property.
2018-10-27 20:46:10.2882 | TRACE | Transliteration.ViewModels.TranslitViewModels | User enter text was translited and write to translits history.
2018-10-27 20:46:12.4947 | TRACE | Transliteration.ViewModels.TranslitViewModels | User ask DB for own translits.
2018-10-27 20:46:12.5007 | TRACE | Transliteration.ViewModels.TranslitViewModels | Change value of Translits property.
2018-10-27 20:46:12.5007 | TRACE | Transliteration.ViewModels.TranslitViewModels | DB answer successful for asking about current user translits.
2018-10-27 20:53:17.7248 | TRACE | Transliteration.Managers.LoggerClass | App srtart: 27.10.2018 20:53:17
2018-10-27 20:53:17.9044 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
2018-10-27 20:53:17.9044 | INFO | Transliteration.Managers.DBManager | Try to connect to DB.
